accession	length	gc_content	gc_cluster
L10682	248	0.5081	1
M26098	73	0.5068	1
M35060	75	0.5067	1
M10805	85	0.5059	1
M10870	85	0.5059	1
K00228	85	0.5059	1
K00229	85	0.5059	1
L19652	267	0.5056	1
AX205138	10	0.5000	1
AX205141	16	0.5000	1
AX205159	14	0.5000	1
AX207365	10	0.5000	1
AX207368	16	0.5000	1
AX207382	14	0.5000	1
K00278	76	0.5000	1
KF697107	46	0.5000	1
L21852	281	0.4982	1
X56604	1131	0.4960	1
D23716	130	0.4923	1
X56987	1147	0.4900	1
AF416613	105	0.4857	1
S88081	1163	0.4850	1
D83572	130	0.4846	1
BD232899	102	0.4804	1
X02609	209	0.4785	1
KU203319	1010	0.4782	1
AJ010799	109	0.4771	1
M12718	793	0.4754	1
M26097	76	0.4737	1
X03535	209	0.4737	1
M19229	368	0.4728	1
X02232	819	0.4725	1
K02839	104	0.4712	1
L10741	287	0.4704	1
M26843	117	0.4701	1
AX045753	100	0.4700	1
BD261013	100	0.4700	1
L19742	273	0.4689	1
L22158	267	0.4682	1
AY899254	372	0.4677	1
AX207374	15	0.4667	1
E02157	2076	0.4653	1
M60755	873	0.4651	1
K01048	158	0.4620	1
CS106198	104	0.4615	1
AX205143	13	0.4615	1
AX207370	13	0.4615	1
M27719	74	0.4595	1
AB016599	3104	0.4591	1
L10643	288	0.4583	1
L11088	269	0.4572	1
AF061037	1507	0.4545	1
X04563	75	0.4533	1
K03323	75	0.4533	1
JF261697	1317	0.4525	1
K02042	1010	0.4525	1
KJ796680	951	0.4522	1
M34907	852	0.4519	1
AF016263	1083	0.4497	0
U24143	298	0.4497	0
X07770	1135	0.4485	0
M15164	114	0.4474	0
L20827	318	0.4465	0
EF123135	388	0.4459	0
M15165	180	0.4444	0
U52042	901	0.4428	0
L12223	393	0.4427	0
S66120	991	0.4420	0
KU203316	1263	0.4418	0
FW365591	197	0.4416	0
DQ881449	406	0.4409	0
M31036	2466	0.4408	0
X02324	945	0.4402	0
X68214	1719	0.4398	0
AY899252	323	0.4396	0
L12222	544	0.4393	0
AF494406	1050	0.4390	0
FW365731	786	0.4389	0
U24165	235	0.4383	0
EF123148	112	0.4375	0
S66114	2001	0.4373	0
X00285	1080	0.4370	0
S66117	1601	0.4366	0
HV532957	197	0.4365	0
M25395	1842	0.4359	0
Y09265	429	0.4359	0
Y09266	441	0.4354	0
EU255273	1503	0.4345	0
X86020	198	0.4343	0
DQ881450	330	0.4333	0
KF595150	1551	0.4326	0
GQ871187	1739	0.4319	0
M36943	482	0.4315	0
AY899247	438	0.4315	0
M29582	1566	0.4310	0
EF123142	286	0.4301	0
S66121	1063	0.4290	0
U17360	656	0.4284	0
U78080	888	0.4279	0
EF123128	395	0.4278	0
E03410	1020	0.4265	0
M55436	1021	0.4261	0
AF064276	101	0.4257	0
JQ844755	912	0.4254	0
AF432905	816	0.4252	0
L38891	828	0.4251	0
DQ881451	318	0.4245	0
X17505	722	0.4238	0
M15167	168	0.4226	0
M15168	168	0.4226	0
EF123125	225	0.4222	0
AB109221	1770	0.4220	0
EF123138	287	0.4216	0
AY164797	1182	0.4213	0
X86568	1460	0.4212	0
EF123124	259	0.4208	0
M15162	231	0.4199	0
D11386	539	0.4193	0
X67729	1148	0.4190	0
X06959	1083	0.4183	0
U17503	900	0.4167	0
EF138821	346	0.4162	0
X73142	774	0.4160	0
EF123130	226	0.4159	0
KU203318	1302	0.4147	0
AY245794	451	0.4146	0
EF123123	333	0.4144	0
AY899251	384	0.4141	0
U26015	97	0.4124	0
X77582	1582	0.4121	0
EF123137	323	0.4118	0
L24113	1820	0.4115	0
D25285	791	0.4109	0
EF138822	392	0.4107	0
EF123136	285	0.4105	0
EF123143	178	0.4101	0
J03645	2108	0.4099	0
EF123141	166	0.4096	0
U61764	1192	0.4094	0
X16804	1789	0.4092	0
GQ871199	767	0.4081	0
U49261	2279	0.4081	0
M77092	1164	0.4064	0
E03860	645	0.4062	0
M95912	1780	0.4062	0
AJ010796	106	0.4057	0
KR998070	1203	0.4057	0
JF892565	508	0.4055	0
AY899255	291	0.4055	0
Y00413	827	0.4051	0
X06957	465	0.4043	0
JF892563	809	0.4042	0
S66130	1664	0.4038	0
D17337	706	0.4037	0
D50469	969	0.4035	0
EF123140	268	0.4030	0
D17338	747	0.4029	0
DQ881452	457	0.4026	0
U12981	102	0.4020	0
S81938	891	0.4018	0
Z49756	284	0.4014	0
E00249	2885	0.4014	0
M28428	2098	0.4013	0
D37871	1505	0.4013	0
L28110	3555	0.4008	0
AJ243217	1225	0.4008	0
M58284	1732	0.4007	0
M28429	1897	0.4006	0
AX205139	10	0.4000	0
AX205149	25	0.4000	0
AX207366	10	0.4000	0
AX207376	25	0.4000	0
X55785	1275	0.4000	0
K02230	90	0.4000	0
K02231	90	0.4000	0
X06958	538	0.3996	0
M26649	333	0.3994	0
Z50012	441	0.3991	0
D13319	2224	0.3988	0
D38368	2224	0.3988	0
X75319	750	0.3987	0
L12221	1721	0.3986	0
M94535	1913	0.3983	0
E03411	882	0.3980	0
AY245793	563	0.3979	0
D50471	925	0.3968	0
M36945	482	0.3963	0
DQ881453	389	0.3959	0
AY253286	268	0.3955	0
X69106	2184	0.3951	0
M86456	3252	0.3951	0
M55440	874	0.3947	0
D38369	2240	0.3942	0
E05278	2535	0.3937	0
AY245795	417	0.3933	0
AY899249	468	0.3932	0
L24112	1300	0.3931	0
D83166	738	0.3930	0
AJ223169	1087	0.3928	0
AY245796	479	0.3925	0
JF892564	745	0.3919	0
X61289	666	0.3919	0
X66132	3122	0.3914	0
L34837	1951	0.3911	0
M96371	4015	0.3910	0
D21164	1364	0.3908	0
AY899257	476	0.3908	0
AY389297	215	0.3907	0
J03234	530	0.3906	0
AY899250	369	0.3902	0
AF064282	164	0.3902	0
EF123131	82	0.3902	0
X82013	2775	0.3899	0
D50470	395	0.3899	0
M14410	2777	0.3889	0
Y00469	612	0.3889	0
X67730	1223	0.3884	0
AY164798	1034	0.3878	0
X04679	2711	0.3877	0
Z48004	2720	0.3871	0
U52369	819	0.3871	0
K00214	75	0.3867	0
AF064281	101	0.3861	0
M24178	765	0.3856	0
EF123133	612	0.3856	0
AF110514	861	0.3856	0
AF174139	708	0.3856	0
AY899245	402	0.3856	0
M14411	2781	0.3855	0
X94605	96	0.3854	0
U36468	327	0.3853	0
AF006074	654	0.3853	0
D10293	732	0.3852	0
AY165035	1053	0.3846	0
K01091	195	0.3846	0
M32491	4193	0.3845	0
M63892	899	0.3838	0
M27723	73	0.3836	0
AY245791	987	0.3830	0
U15300	3184	0.3829	0
U24234	2030	0.3823	0
EF015596	885	0.3819	0
M12087	1678	0.3814	0
Z47789	507	0.3807	0
X60326	1930	0.3803	0
M74589	6915	0.3802	0
E08050	1974	0.3799	0
U41658	337	0.3798	0
M23166	2698	0.3795	0
EF123146	219	0.3790	0
L13469	5218	0.3789	0
M15166	132	0.3788	0
EF123127	404	0.3787	0
E08049	1923	0.3786	0
L07070	1474	0.3786	0
U41659	722	0.3781	0
AY899246	315	0.3778	0
E08051	2080	0.3774	0
M94533	3601	0.3768	0
U63063	1936	0.3765	0
AY169693	1570	0.3752	0
AX205140	16	0.3750	0
AX207367	16	0.3750	0
EF123147	724	0.3743	0
EF123134	466	0.3734	0
X04561	75	0.3733	0
K02232	75	0.3733	0
K03322	75	0.3733	0
AB305041	1860	0.3731	0
AY899244	287	0.3728	0
EF123132	207	0.3720	0
AF064271	78	0.3718	0
E00248	1061	0.3713	0
AY899253	442	0.3710	0
M34474	3456	0.3701	0
S48033	328	0.3689	0
DQ881448	576	0.3681	0
EF123129	547	0.3675	0
AF064267	98	0.3673	0
AJ010795	98	0.3673	0
KU203317	1005	0.3662	0
U48867	1251	0.3661	0
X97401	759	0.3650	0
U24167	3711	0.3641	0
U89332	690	0.3638	0
L28996	1017	0.3628	0
EF123145	494	0.3623	0
X93302	4090	0.3623	0
U21240	434	0.3618	0
M27722	83	0.3614	0
M36942	482	0.3610	0
AX205148	25	0.3600	0
AX207375	25	0.3600	0
S78566	392	0.3597	0
EF123126	217	0.3594	0
S43129	182	0.3571	0
EF123149	289	0.3564	0
AY253287	306	0.3562	0
M27718	73	0.3562	0
U14595	1301	0.3559	0
AY899248	346	0.3555	0
U26016	110	0.3545	0
AF064270	96	0.3542	0
AF064279	82	0.3537	0
M25502	939	0.3536	0
X04560	85	0.3529	0
K00234	85	0.3529	0
AF005267	2418	0.3524	0
AF059310	372	0.3522	0
M35511	563	0.3517	0
AF016262	1479	0.3516	0
X62877	444	0.3514	0
M84764	1350	0.3511	0
M31719	3466	0.3508	0
X15155	1007	0.3496	0
M16510	593	0.3491	0
AF064278	86	0.3488	0
EF123144	195	0.3487	0
U83406	264	0.3485	0
U26011	89	0.3483	0
X04558	75	0.3467	0
K00205	75	0.3467	0
K03321	75	0.3467	0
AY253285	550	0.3455	0
Z70300	84	0.3452	0
AJ010802	84	0.3452	0
U11057	719	0.3449	0
M20546	563	0.3446	0
AF064262	90	0.3444	0
U39665	1025	0.3444	0
AY278445	291	0.3436	0
AY899256	274	0.3431	0
U48699	414	0.3430	0
AJ010800	88	0.3409	0
AY253289	710	0.3408	0
AX810260	2631	0.3406	0
AF085328	165	0.3394	0
AY245792	715	0.3357	0
AH013307	571	0.3345	0
M36944	482	0.3340	0
M96058	2668	0.3336	0
AX205146	15	0.3333	0
AX207373	15	0.3333	0
M24872	75	0.3333	0
K00335	75	0.3333	0
U24162	257	0.3307	0
KJ489455	798	0.3296	0
K03320	76	0.3289	0
AJ010798	89	0.3258	0
AH000710	798	0.3258	0
AF064275	255	0.3255	0
M27721	74	0.3243	0
L11612	2700	0.3241	0
AY899243	488	0.3238	0
M25503	1007	0.3237	0
AJ010797	88	0.3182	0
AF064272	104	0.3173	0
EF123139	234	0.3162	0
X04556	76	0.3158	0
K00161	76	0.3158	0
AF064264	92	0.3152	0
K00948	127	0.3150	0
K00950	115	0.3130	0
AF064283	90	0.3111	0
K00261	74	0.3108	0
AF064265	91	0.3077	0
M12538	69	0.3043	0
K00952	125	0.3040	0
AH013308	585	0.3026	0
AF064266	86	0.3023	0
AF064280	136	0.3015	0
K00951	117	0.2991	0
M37743	370	0.2973	0
AH013310	554	0.2960	0
K00949	115	0.2957	0
K00373	86	0.2907	0
K02229	86	0.2907	0
A18178	31	0.2903	0
AF100953	100	0.2900	0
X84042	1170	0.2897	0
X04559	76	0.2895	0
K00221	76	0.2895	0
AF064273	90	0.2889	0
AF064268	88	0.2841	0
AF064261	113	0.2832	0
AJ010801	87	0.2759	0
AH013309	555	0.2739	0
U26012	95	0.2737	0
X04562	77	0.2727	0
AF064269	88	0.2727	0
AF064263	107	0.2710	0
AH013306	545	0.2679	0
AH001378	324	0.2623	0
E03039	469	0.2623	0
AF064277	100	0.2600	0
AF064274	100	0.2300	0
AH001379	243	0.2181	0
M27720	72	0.2083	0
M15163	147	0.2041	0
X04557	74	0.2027	0
AF100952	100	0.1900	0
